verso,cancion
bien escondido dentro de su piel.,ES TAN KUBRICK
"Ella es tan Kubrick, si la descubren",ES TAN KUBRICK
sería una estrella de primer nivel,ES TAN KUBRICK
"pero su madre, junto a su padre",ES TAN KUBRICK
seguro todo lo echan a perder.,ES TAN KUBRICK
"Ella es lolita, es Nicole Kidman",ES TAN KUBRICK
full metal jacket de un rincón burdel,ES TAN KUBRICK
"es esquizoide, no es celuloide",ES TAN KUBRICK
"(no es resplandor), ni siquiera un hotel.",ES TAN KUBRICK
"pero su madre, junto a su padre",ES TAN KUBRICK
no ven la artista que se va a perder.,ES TAN KUBRICK
yo la vi un día transportando un vinilo,ES TAN KUBRICK
me hizo acordar un poco a Fabi Cantilo,ES TAN KUBRICK
me sorprendió que me haya reconocido,ES TAN KUBRICK
"sopló mi rostro, y juro que me pegó.",ES TAN KUBRICK
"ella es tan chica, tan drogadicta",ES TAN KUBRICK
ella no sabe mucho más qué hacer,ES TAN KUBRICK
"ella es tan Kubrick, si la descubren",ES TAN KUBRICK
sería una estrella de primer nivel.,ES TAN KUBRICK
Al fin llegó la primavera,3PRIMAVERA
al fin iremos a pasear,3PRIMAVERA
al fin la ropa de la escuela,3PRIMAVERA
se empezará a deshilachar.,3PRIMAVERA
Y seremos hoy más jóvenes que ayer,3PRIMAVERA
es que el sol nos va a invitar a renacer.,3PRIMAVERA
Ahora que estoy rehabilitado,3PRIMAVERA
saldré de gira y otra vez,3PRIMAVERA
me encerrarán cuando se acabe,3PRIMAVERA
y roben lo que yo gané.,3PRIMAVERA
Porque a mí ya no me importa discutir,3PRIMAVERA
es la inteligencia lo que lo hace huir,3PRIMAVERA
No me mostrés tus celulares,3PRIMAVERA
con su gramática fatal,3PRIMAVERA
"arroba, punto, ja ja, sabes...",3PRIMAVERA
gramática vegetal,3PRIMAVERA
porque pronto dejarán de funcionar,3PRIMAVERA
estarás en este mundo digital.,3PRIMAVERA
Al fin llegó la primavera,3PRIMAVERA
al fin saldremos a pasear,3PRIMAVERA
al fin al viento las polleras,3PRIMAVERA
al fin piropos al pasar,3PRIMAVERA
Porque siempre estaré pronto a renacer,3PRIMAVERA
porque hoy yo estoy más joven que ayer,3PRIMAVERA
"que ayer, que ayer...",3PRIMAVERA
"Vivo en un edificio, a dos cuadras de la facultad",4RIVALIDAD
"donde guardo los vicios,",4RIVALIDAD
en la entrada hay seguridad,4RIVALIDAD
pero siempre hay vecinas incapaces,4RIVALIDAD
para distinguir,4RIVALIDAD
"la música del ruido, pero nunca van a conseguir",4RIVALIDAD
"Cambiarme baby, cambiarme baby",4RIVALIDAD
"viva la rivalidad, siga la rivalidad",4RIVALIDAD
sólo quiero la rivalidad.,4RIVALIDAD
"Cambiarme baby,",4RIVALIDAD
cambiarme baby...,4RIVALIDAD
"viva la rivalidad, siga la rivalidad",4RIVALIDAD
yo no quiero la rivalidad.,4RIVALIDAD
La noche del silencio cayó negra sobre la ciudad,4RIVALIDAD
algunos tenían miedo o rajaban para otro lugar,4RIVALIDAD
yo sé qué se imaginan cuando hablo,4RIVALIDAD
de la cruz del sur,4RIVALIDAD
"no es un lugar del cielo,",4RIVALIDAD
es la estrella donde brillas tú.,4RIVALIDAD
"Cambiarme baby, cambiarme baby",4RIVALIDAD
"viva la rivalidad, siga la rivalidad",4RIVALIDAD
sólo espero la rivalidad.,4RIVALIDAD
En la primera hora,5OTRO
me dieron el papel,5OTRO
la concha de la lora,5OTRO
ahora lo tiene él.,5OTRO
Por eso yo ya quiero,5OTRO
"otro, otro, otro",5OTRO
"yo quiero otro, nada más",5OTRO
"otro, otro, otro",5OTRO
Yo quería ser fascista,5OTRO
pero no me fue bien,5OTRO
después psicoanalista,5OTRO
pero ahí me asusté,5OTRO
la medicina quiero,5OTRO
"otro, otro, otro",5OTRO
querían a otro en mi lugar,5OTRO
"otro, otro, otro",5OTRO
"Ya ves, amantes otra vez",6LLUVIA
por eso es que hoy llovió,6LLUVIA
"ya ves, modelos de papel",6LLUVIA
no las critiques vos.,6LLUVIA
Ya ves que no te puedo dejar,6LLUVIA
las cosas que quisiste tener,6LLUVIA
"ya ves, amantes otra vez",6LLUVIA
por eso es que hoy llovió.,6LLUVIA
"Ya ves, no puedes entender",6LLUVIA
a tu reputación,6LLUVIA
"no ves, el gato que hay en vos",6LLUVIA
no te lo digo yo.,6LLUVIA
Ya ves que yo no te puedo dar,6LLUVIA
las cosas que quisiste dejar,6LLUVIA
"ya ves, amantes otra vez",6LLUVIA
por eso es que hoy llovió.,6LLUVIA
Me escapé por ahí,6LLUVIA
y el colchón me chupó la angustia,6LLUVIA
y vas a estar bien,6LLUVIA
cuando el sol no nos vuelva locos.,6LLUVIA
Ya ves que ya no quiero nada,6LLUVIA
no quiero nada más de vos,6LLUVIA
"ya ves, amantes otra vez",6LLUVIA
por eso es que hoy llovió.,6LLUVIA
Ya ves que no te puedo dejar,6LLUVIA
las cosas que quisiste tener,6LLUVIA
"ya ves, amantes otra vez",6LLUVIA
por eso es que hoy llovió,6LLUVIA
Me escapé una vez,6LLUVIA
me metí en un cine sucio,6LLUVIA
y ví cómo él bailaba,6LLUVIA
"en la lluvia, era",6LLUVIA
Una película gastada,6LLUVIA
una película en color,6LLUVIA
"ya ves, amantes en la lluvia",6LLUVIA
te lo digo yo.,6LLUVIA
Es medianoche en la televisión,DE DIOS
"cuando uno quiere algo de diversión,",DE DIOS
"con maquillaje y sin disfraz,",DE DIOS
aparecen los amigos de Dios.,DE DIOS
"Son brasileros o de otro país,",DE DIOS
todos se esconden bajo de un tapiz.,DE DIOS
"Esto, con Hitler ya pasó,",DE DIOS
el milagro de una mala actuación.,DE DIOS
"Y la historia de Jesús,",DE DIOS
que se atragantó la cruz,DE DIOS
eligiendo a una puta sin dientes.,DE DIOS
"Loco, cambio de canal,",DE DIOS
pero sigue el recital;,DE DIOS
¿Con qué mierda drogan a la gente?,DE DIOS
"El cojo avanza, el mudo tiene voz,",DE DIOS
todos se esconden bajo de un telón.,DE DIOS
¿Qué mierda van a vender?,DE DIOS
"Es difícil de creer,",DE DIOS
se volvieron locos de repente.,DE DIOS
"Es la eterna juventud,",DE DIOS
"es esa maldita luz,",DE DIOS
es la droga que arruinó tu mente.,DE DIOS
"Es medianoche en la televisión,",DE DIOS
"cuando uno quiere algo de diversión,",DE DIOS
"con maquillaje, sin disfraz,",DE DIOS
aparecen los amigos de Dios.,DE DIOS
Toda esta mierda sucedió,DE DIOS
el día que Tinelli nació.,DE DIOS
Aparecen los amigos de Dios.,DE DIOS
Aparecen los amigos de Dios.,DE DIOS
Abrí la puerta y subí al avión,9SPECTOR
no pude verte ni decirte adiós,9SPECTOR
apenas si sabía donde aterrizaría,9SPECTOR
"pero perderte, nena, era mi misión.",9SPECTOR
Hay cada turro en la televisión,9SPECTOR
ya sea en tu living o quizá en Japón,9SPECTOR
"no conseguí escaparme, tenía que quedarme",9SPECTOR
"las redes tendrán llave, pero una prisión.",9SPECTOR
Yo te conté dónde había actuado,9SPECTOR
el escenario era un bajón,9SPECTOR
entonces ella y sus pecados,9SPECTOR
volvieron con esta canción.,9SPECTOR
Si por desgracia tengo que tratar,9SPECTOR
y mis valijas van a revisar,9SPECTOR
"ya no sería un cantante, un narcotraficante",9SPECTOR
siempre serás mi amante y me seguirás.,9SPECTOR
Yo te mostraré el camino,9SPECTOR
entre la cana y los demás,9SPECTOR
vos siempre vas a estar conmigo,9SPECTOR
"soy tu testigo, tu disfraz.",9SPECTOR
Él es un hombre que hizo bien,B
siempre trata de seguir,B
"a pesar del mundo, y en eso el",B
mundo b,B
a la chica que hizo bien,B
siempre trata de fingir,B
a pesar del mundo y este mundo,B
El pasado no me condena,B
el presente no me da pena,B
el futuro está asegurado,B
y los muertos están comprados por,B
él!,B
Que es un hombre que hizo bien,B
siempre tratando de ir,B
a pesar del mundo y en eso el mundo b,B
a la chica que hizo bien,B
siempre trata de fingir,B
a pesar del mundo y este mundo,B
Hay más muertos que nacimientos,B
hay más pálidos que contentos,B
hay más chicas que están en bolas,B
y los muertos están de moda.,B
A la mañana me acuesto con el día,CON UN ALMA
Pero a la noche me acuesto con tu voz.,CON UN ALMA
"Hay alguien, alguien que me quiere ver.",CON UN ALMA
Estoy dileando con un alma que no puedo entender.,CON UN ALMA
"Y me arrastro,",CON UN ALMA
Me arrastro entre las calles,CON UN ALMA
Entre la niebla de la degradación,CON UN ALMA
"Hay alguien, alguien que me quiere ver",CON UN ALMA
Estoy dileando con un alma,CON UN ALMA
que no puedo entender.,CON UN ALMA
Y yo estoy enamorado de la nena,CON UN ALMA
Y el amor nunca me va a pedir perdón,CON UN ALMA
"Si fuera un árbol, sería un Spinetta",CON UN ALMA
"Si fuera un auto, sería un Renault Dauphine",CON UN ALMA
"Hay ángel, ángel que me guardas bien",CON UN ALMA
Estoy dileando con un alma que no puedo entender,CON UN ALMA
Y yo sigo enamorado de la nena,CON UN ALMA
Y el amor nunca me va a pedir perdón,CON UN ALMA
"Por eso vamos!, pegame como un hombre",CON UN ALMA
Y cogeme como una gran mujer,CON UN ALMA
"Hay alguien, alguien que me quiere ver",CON UN ALMA
Estoy dileando con un alma,CON UN ALMA
que no puedo entender,CON UN ALMA
Dileando con un alma,CON UN ALMA
Que no puedo entender,CON UN ALMA
Estoy deleando con un alma,CON UN ALMA
Que no puedo,CON UN ALMA
Y no quiero entender.,CON UN ALMA
"Te daré mi amor, te daré mi amor",CON UN ALMA
"Te daré mi amor, te daré mi amor",CON UN ALMA
Tarde o temprano yo te daré mi amor.,CON UN ALMA
Tarde o temprano yo te daré mi amor,CON UN ALMA
"Hey todo el mundo, sirvan al rehén",2REHÉN
"Dénle lo que pida, también dénle de comer",2REHÉN
"Cuiden sus pastillas, tengan el control",2REHÉN
Nadie va a enterarse,2REHÉN
Si es la luna o es el sol,2REHÉN
No está bien y no está mal,2REHÉN
"No está loca, tampoco es normal",2REHÉN
Ella es un gran rehén,2REHÉN
"Sé a dónde fuiste, sé con quién estás",2REHÉN
De dónde viniste,2REHÉN
Y por supuesto a dónde vas,2REHÉN
Vas a los museos para sonreír,2REHÉN
"Pero de esta pieza, nena",2REHÉN
No vas a salir,2REHÉN
No está bien y no está mal,2REHÉN
"No es celosa, tampoco es normal",2REHÉN
Ella es un gran rehén,2REHÉN
¿En qué planeta estás?,2REHÉN
"Rehén, rehén, rehén",2REHÉN
Sola en tu habitación no podés ver,2REHÉN
Escuchas los sonidos de la noche,2REHÉN
No la podés creer,2REHÉN
Cuando te secuestré un tiempo atrás,2REHÉN
Sabía que en un punto del camino,2REHÉN
Te ibas a enamorar,2REHÉN
Hey gilipollas sirvan al rehén,2REHÉN
"Dénle lo que pida, también dénle de comer",2REHÉN
"Cuiden sus pastillas, tengan el control",2REHÉN
Nunca va a enterarse,2REHÉN
Si es la luna o es el sol,2REHÉN
No está bien y no está mal,2REHÉN
"No es famosa, tampoco es normal",2REHÉN
Ella es mi gran rehén,2REHÉN
¿En qué planeta estás?,2REHÉN
"Rehén, rehén, rehén",2REHÉN
Ella es un gran rehén,2REHÉN
Ella es un gran rehén,2REHÉN
Ella es mi gran rehén.,2REHÉN
Cuando viniste a mi,3ASESÍNAME
Cerré la puerta pero abrí,3ASESÍNAME
"Asesíname, asesíname",3ASESÍNAME
Por darte lo que dí,3ASESÍNAME
Me convertí en un souvenir,3ASESÍNAME
"Asesíname, asesíname",3ASESÍNAME
Dejé tu imagen en el cajón,3ASESÍNAME
Guardé tu alma en el mellotron,3ASESÍNAME
No quiero más que me des,3ASESÍNAME
Con cuentagotas tu amor,3ASESÍNAME
Es sólo rock and roll,3ASESÍNAME
Pero ya es mucho para vos,3ASESÍNAME
"Asesíname, asesíname",3ASESÍNAME
No quiero más que me des,3ASESÍNAME
Con cuentagotas tu amor,3ASESÍNAME
Yo me quiero morir,3ASESÍNAME
No aguanto más estar aquí,3ASESÍNAME
"Asesíname, asesíname",3ASESÍNAME
"Asesíname, asesíname",3ASESÍNAME
Me enamoré de la chica de la esquina,BAILARINA
Estaba loca como su mamá,BAILARINA
"Por lo que veo, caminar no le alcanza",BAILARINA
"Oh, cómo quiero a esa loca!",BAILARINA
Porque la quiero de verdad,BAILARINA
Y si mi mente no me sigue fallando,BAILARINA
Y si mis ojos no la miran más,BAILARINA
Si mis palabras no consiguen rimarla,BAILARINA
"Uh, como quiero que venga!",BAILARINA
Porque la quiero de verdad,BAILARINA
Me enamoré de la linda bailarina,BAILARINA
Es tan hermosa que me hace llorar,BAILARINA
Es un antojo que me sale del alma,BAILARINA
"Uh, como quiero que venga!",BAILARINA
Porque la quiero de verdad.,BAILARINA
Cuando viniste a mi,(VERSIÓN STONE)
Cerré la puerta pero abrí,(VERSIÓN STONE)
"Asesíname, asesíname.",(VERSIÓN STONE)
Por darte lo que dí,(VERSIÓN STONE)
Me convertí en un souvenir.,(VERSIÓN STONE)
"Asesíname, asesíname.",(VERSIÓN STONE)
"Dejé tu imagen en el cajón,",(VERSIÓN STONE)
Guardé tu alma en el mellotron,(VERSIÓN STONE)
No quiero más que me des,(VERSIÓN STONE)
Con cuentagotas tu amor,(VERSIÓN STONE)
Es sólo rock and roll,(VERSIÓN STONE)
Pero ya es mucho para vos,(VERSIÓN STONE)
"Asesíname, asesíname.",(VERSIÓN STONE)
No quiero más que me des,(VERSIÓN STONE)
Con cuentagotas tu amor.,(VERSIÓN STONE)
Yo me quiero morir,(VERSIÓN STONE)
No aguanto más estar aquí,(VERSIÓN STONE)
"Asesíname, asesíname",(VERSIÓN STONE)
"Asesíname, asesíname.",(VERSIÓN STONE)
Loco lindo que te comes las veredas,6V.S.D.
Con tres pasos disparados al compás,6V.S.D.
Y tu figura de largura interminable,6V.S.D.
Y un bigote de malicia,6V.S.D.
Trabajado a sangre y sal,6V.S.D.
Bucanero de los mares del Congreso,6V.S.D.
Acoplame el corazón con tu canción,6V.S.D.
Comunícalo con alas de guitarra,6V.S.D.
Y un pianito de juguete,6V.S.D.
Que tocás tan solo vos,6V.S.D.
"Vos sos Dios, vos sos Gardel",6V.S.D.
Yo soy lo más,6V.S.D.
"Ay, Carlitos, ay qué día",6V.S.D.
Pasaremos hoy acá,6V.S.D.
Calavera rompe y raja y todos miran,6V.S.D.
Vos tomás un trago largo y te olvidás,6V.S.D.
De los consejos que te dan,6V.S.D.
Todas tus minas,6V.S.D.
Y las cosas de tu barrio,6V.S.D.
Lo olvidás en cualquier bar,6V.S.D.
Y en tu altura de guardián de los destierros,6V.S.D.
Que los genios solo pueden alcanzar,6V.S.D.
"Vos te olvidás de mamá, te olvidás de papá",6V.S.D.
"Te olvidás, te olvidás, te olvidás",6V.S.D.
"Vos sos Dios, vos sos Gardel. Vos sos lo más",6V.S.D.
"Ay, Carlitos, ay qué día",6V.S.D.
Pasaremos hoy acá.,6V.S.D.
Loco lindo que te comes las veredas,7TANGO
"Con tres pasos disparados al compás,",7TANGO
Y tu figura de largura interminable,7TANGO
Y un bigote de malicia,7TANGO
Trabajado a sangre y sal.,7TANGO
Bucanero de los mares del Congreso,7TANGO
Acoplame el corazón con tu canción,7TANGO
Comunícalo con alas de guitarra,7TANGO
Y un pianito de juguete,7TANGO
Que tocás tan solo vos,7TANGO
"Vos sos Dios, vos sos Gardel",7TANGO
Vos sos lo más.,7TANGO
"Vos sos Dios, vos sos Gardel",7TANGO
Vos sos lo más.,7TANGO
Vos hablando y yo tratando de escucharte,7TANGO
Calavera rompe y raja y todos miran,7TANGO
Vos tomás un trago largo y te olvidás,7TANGO
De los consejos que te dan,7TANGO
Todas tus minas,7TANGO
Y las cosas de tu barrio,7TANGO
Lo olvidás en cualquier bar.,7TANGO
Y en tu altura de guardián,7TANGO
de los destierros,7TANGO
"Que los genios te lo pueden acoplar,",7TANGO
"Vos sos Dios, vos sos Gardel",7TANGO
Vos sos lo más.,7TANGO
"Vos sos Dios, vos sos lo más.",7TANGO
Algún día vas a ver al cretino gritar:,8CRETINO
"""Dénle al tiempo una oportunidad""",8CRETINO
Algún día vas a ver al cretino llorar,8CRETINO
Convertido en una estatua de sal,8CRETINO
Detrás de las colinas sale el sol,8CRETINO
Te espero en el camino verde,8CRETINO
Algún día va a caerse,8CRETINO
Tu maldito disfraz,8CRETINO
Ese día descansaremos en paz,8CRETINO
Tanta fuerza y tanto amor,8CRETINO
Hacen al mundo girar,8CRETINO
Algún día lo descubrirás,8CRETINO
Detrás de las colinas sale el sol,8CRETINO
Te espero en el camino verde,8CRETINO
No esperes a mañana,8CRETINO
Tanto dolor se va a acabar,8CRETINO
Tanta fuerza y tanto amor,8CRETINO
Hacen al mundo girar,8CRETINO
Algún día lo comprenderás,8CRETINO
Y esa fuerza y ese amor,8CRETINO
Se convertirá en más,8CRETINO
Ese día descansaremos en paz,8CRETINO
Detrás del arcoiris sale el sol,8CRETINO
Te espero en el camino verde,8CRETINO
No esperes a mañana,8CRETINO
Tanto dolor se va a acabar,8CRETINO
No esperes a mañana,8CRETINO
Tanto dolor se va a acabar.,8CRETINO
"Hey, linda nena, ¿dónde vas a ir",AND ROLL YO
Cuando no queden más lugares para huir?,AND ROLL YO
"Argentinita, dónde vas a estar",AND ROLL YO
Cuando la gente no te quiera ni mirar?,AND ROLL YO
Voy a saltar adentro tuyo,AND ROLL YO
Comiéndome de a poco tu orgullo,AND ROLL YO
Saquen y eliminen a esa tonta,AND ROLL YO
De mi rock and roll Yo,AND ROLL YO
Este es mi rock and roll Yo,AND ROLL YO
Hey papa frita ¿ qué vas a sentir,AND ROLL YO
Cuando no tengas milanesas que freir?,AND ROLL YO
"Hija de puta, te voy a matar",AND ROLL YO
Donde te encuentres yo seguro voy a estar,AND ROLL YO
Voy a saltar adentro tuyo,AND ROLL YO
Comiéndome de a poco tu orgullo,AND ROLL YO
Saquen y eliminen a esa tonta,AND ROLL YO
De mi rock and roll Yo,AND ROLL YO
Quizás te ame ¿ qué puedo hacer,AND ROLL YO
Cuando mañana está en el ayer? Yeah!,AND ROLL YO
Voy a saltar adentro tuyo,AND ROLL YO
Comiéndome de a poco tu orgullo,AND ROLL YO
Saquen y eliminen a esa tonta,AND ROLL YO
De mi rock and roll Yo.,AND ROLL YO
Buen día brillo del sol,10WONDER
Te ofrezco mi sonrisa,10WONDER
"Ya ves, no tengo prisa",10WONDER
De estar en otro lado.,10WONDER
Pero ¿ qué voy a hacer?,10WONDER
"El mundo es un desastre,",10WONDER
Seguro que lo amaste,10WONDER
Y ahora está traicionado,10WONDER
Porque el amor te necesita amor,10WONDER
No esperés que alguien te lo dé a vos.,10WONDER
"Hey pará, cuidá ese corazón",10WONDER
Tonto fui,10WONDER
Y me creía el mejor.,10WONDER
Las cosas del querer,10WONDER
Que vimos en el cine,10WONDER
Tal vez no tenga fines,10WONDER
Ni principios ni nada,10WONDER
A riesgo de perder,10WONDER
Algunas ilusiones,10WONDER
Enciende las pasiones,10WONDER
Desde que está,10WONDER
A tu lado,10WONDER
Porque el amor te necesita,10WONDER
No esperés a que alguien te lo dé a vos,10WONDER
"Hey pará, cuidá ese corazón",10WONDER
Tonto fui,10WONDER
Y me creía el mejor.,10WONDER
Loco lindo que te comes las veredas,11DEALER
"Con tres pasos disparados al compás,",11DEALER
Y tu figura de largura interminable,11DEALER
Y un bigote de malicia,11DEALER
Trabajado a sangre y sal.,11DEALER
Bucanero de los mares del Congreso,11DEALER
Acoplame el corazón con tu canción,11DEALER
Comunícalo con alas de guitarra,11DEALER
Y un pianito de juguete,11DEALER
Que tocás tan solo vos,11DEALER
"Vos sos Dios, vos sos Gardel",11DEALER
Yo soy lo más,11DEALER
"Ay, Carlitos, ay qué día",11DEALER
Pasaremos hoy acá.,11DEALER
Calavera rompe y raja y todos miran,11DEALER
Vos tomás un trago largo y te olvidás,11DEALER
De los consejos que te dan,11DEALER
Todas tus minas,11DEALER
Y las cosas de tu barrio,11DEALER
Lo olvidás en cualquier bar.,11DEALER
Y en tu altura de guardián de los destierros,11DEALER
"Que los genios solo pueden alcanzar,",11DEALER
"Vos te olvidás de mamá, te olvidás de papá,",11DEALER
"Te olvidás, te olvidás, te olvidás",11DEALER
"Vos sos Dios, vos sos Gardel. Vos sos lo más.",11DEALER
"Ay, Carlitos, ay qué día",11DEALER
Pasaremos hoy acá.,11DEALER
Yo sé que estas enamorada otra vez,TE AMARÉ (FT. JAMBAO)
"y que no piensas regresar porque te has ido, mi amor",TE AMARÉ (FT. JAMBAO)
y volverás,TE AMARÉ (FT. JAMBAO)
yo se muy bien que volverás,TE AMARÉ (FT. JAMBAO)
porque él no te aprendido amar,TE AMARÉ (FT. JAMBAO)
"vendrás conmigo, mi amor",TE AMARÉ (FT. JAMBAO)
Siempre te amaré,TE AMARÉ (FT. JAMBAO)
y te adorare,TE AMARÉ (FT. JAMBAO)
"aquí te esperare aunque no estés, eh",TE AMARÉ (FT. JAMBAO)
Siempre te amaré,TE AMARÉ (FT. JAMBAO)
y te adorare,TE AMARÉ (FT. JAMBAO)
aquí te esperare aunque no estés... Oh no,TE AMARÉ (FT. JAMBAO)
aquí conmigo,TE AMARÉ (FT. JAMBAO)
Yo sé que estas enamorada otra vez,TE AMARÉ (FT. JAMBAO)
"y que no piensas regresar porque te has ido, mi amor",TE AMARÉ (FT. JAMBAO)
y volverás,TE AMARÉ (FT. JAMBAO)
yo se muy bien que volverás,TE AMARÉ (FT. JAMBAO)
porque él no te aprendido amar,TE AMARÉ (FT. JAMBAO)
"vendrás conmigo, mi amor",TE AMARÉ (FT. JAMBAO)
Siempre te amaré,TE AMARÉ (FT. JAMBAO)
y te adorare,TE AMARÉ (FT. JAMBAO)
aquí te esperare aunque no estés,TE AMARÉ (FT. JAMBAO)
Siempre te amaré,TE AMARÉ (FT. JAMBAO)
y te adorare,TE AMARÉ (FT. JAMBAO)
aquí te esperare aunque no estés,TE AMARÉ (FT. JAMBAO)
Siempre te amaré,TE AMARÉ (FT. JAMBAO)
y te adorare,TE AMARÉ (FT. JAMBAO)
aquí te esperare aunque no estés,TE AMARÉ (FT. JAMBAO)
¡aquí conmigo!,TE AMARÉ (FT. JAMBAO)
Voy a cambiar,TU AMOR
voy a insistir,TU AMOR
voy a pelear,TU AMOR
voy a seguir.,TU AMOR
Yo necesito tu amor,TU AMOR
tu amor me salva y me sirve,TU AMOR
yo necesito tu amor,TU AMOR
cada día un poco más.,TU AMOR
Yo tengo el vicio de dejarme llevar,TU AMOR
y poner mi cabeza en Marte.,TU AMOR
Tengo prejuicios que no puedo sacar,TU AMOR
tengo un cuerpo que quiere amarte.,TU AMOR
Yo vi tu amor,TU AMOR
yo vi tu amor.,TU AMOR
Dentro del mal,TU AMOR
cerca del fin,TU AMOR
"cerca de vos,",TU AMOR
dentro de mí.,TU AMOR
Yo necesito tu amor,TU AMOR
tu amor me salva y me sirve,TU AMOR
yo necesito tu amor,TU AMOR
cada día un poco más.,TU AMOR
No tengo nadie que yo quiera escuchar,TU AMOR
ni pasiones para abrigarme,TU AMOR
"no tengo máscara,",TU AMOR
no tengo disfraz,TU AMOR
ni señales para guiarme,TU AMOR
al menos hoy,TU AMOR
al menos hoy.,TU AMOR
Estás buscando un viejo camisón,UN SÍMBOLO DE PAZ
estás buscando alguna religión,UN SÍMBOLO DE PAZ
estás buscando un símbolo de paz.,UN SÍMBOLO DE PAZ
Estás buscando un incienso ya,UN SÍMBOLO DE PAZ
estás buscando un sueño en el placard.,UN SÍMBOLO DE PAZ
estás buscando un símbolo de paz.,UN SÍMBOLO DE PAZ
Y damos vueltas a la heladera,UN SÍMBOLO DE PAZ
y solo queda un limón sin exprimir,UN SÍMBOLO DE PAZ
nos divertimos en primavera,UN SÍMBOLO DE PAZ
y en invierno nos queremos morir.,UN SÍMBOLO DE PAZ
Estás buscando un porro de papá,UN SÍMBOLO DE PAZ
estás buscando un saco de mamá,UN SÍMBOLO DE PAZ
porque si nada queda nada da.,UN SÍMBOLO DE PAZ
Estás buscando un incienso ya,UN SÍMBOLO DE PAZ
estás buscando un sueño en el placard,UN SÍMBOLO DE PAZ
estás buscando un símbolo de paz.,UN SÍMBOLO DE PAZ
Y damos vuelta a la discoteca,UN SÍMBOLO DE PAZ
y ya no quedan ganas de sonreír,UN SÍMBOLO DE PAZ
nos divertimos en primavera,UN SÍMBOLO DE PAZ
y en invierno nos queremos morir.,UN SÍMBOLO DE PAZ
Será porque nos queremos sentir bien,UN SÍMBOLO DE PAZ
que ahora estamos bailando entre la gente,UN SÍMBOLO DE PAZ
será porque nos queremos sentir bien,UN SÍMBOLO DE PAZ
que ahora todo suena diferente.,UN SÍMBOLO DE PAZ
Y damos vueltas a la heladera,UN SÍMBOLO DE PAZ
y solo queda un limón sin exprimir,UN SÍMBOLO DE PAZ
nos divertimos en primavera,UN SÍMBOLO DE PAZ
y en invierno nos queremos morir.,UN SÍMBOLO DE PAZ
El no camina en barrios suburbanos,DE LA RELIGIÓN
el es un hombre decente,DE LA RELIGIÓN
él nunca toca la gente con las manos,DE LA RELIGIÓN
el es tan independiente.,DE LA RELIGIÓN
Es parte de la religión,DE LA RELIGIÓN
es parte de la religión,DE LA RELIGIÓN
es parte de la religión.,DE LA RELIGIÓN
"El siente culpa, el vive torturado",DE LA RELIGIÓN
el no es tan inteligente,DE LA RELIGIÓN
"él nunca avanza, camina de costado,",DE LA RELIGIÓN
el tiene miedo a su mente,DE LA RELIGIÓN
Es parte de la religión,DE LA RELIGIÓN
es parte de la religión,DE LA RELIGIÓN
es parte de la religión.,DE LA RELIGIÓN
Ella se desnuda y se desviste,DE LA RELIGIÓN
tan lésbicamente,DE LA RELIGIÓN
que no puedo dejar de sonreír.,DE LA RELIGIÓN
Todo se construye y se destruye,DE LA RELIGIÓN
tan rápidamente,DE LA RELIGIÓN
que no puedo dejar de sonreír.,DE LA RELIGIÓN
Es parte de la religión,DE LA RELIGIÓN
matar,DE LA RELIGIÓN
es parte de la religión,DE LA RELIGIÓN
mentir,DE LA RELIGIÓN
es parte de la religión.,DE LA RELIGIÓN
Vamos al campo,DE LAS HORMIGAS
a descansar.,DE LAS HORMIGAS
"no queda nada, nada, nada que jalar",DE LAS HORMIGAS
de vacaciones me quiero ir,DE LAS HORMIGAS
a ver las focas y el casino en la Feliz.,DE LAS HORMIGAS
No me banco las hormigas,DE LAS HORMIGAS
por favor pasame el Raid.,DE LAS HORMIGAS
No me banco las hormigas,DE LAS HORMIGAS
por favor pasame el Raid.,DE LAS HORMIGAS
"No tengo teca,",DE LAS HORMIGAS
no tengo grass,DE LAS HORMIGAS
y la heladera no funciona,DE LAS HORMIGAS
porque la misma es a gas.,DE LAS HORMIGAS
"comida, no hay más.",DE LAS HORMIGAS
Estoy en el medio de la selva,DE LAS HORMIGAS
esto no lo aguanto más.,DE LAS HORMIGAS
"No me banco las hormigas,",DE LAS HORMIGAS
yo me vuelvo a la ciudad.,DE LAS HORMIGAS
Adela en el carrousell,EN EL CARROUSEL
y los espejos son sonrisas,EN EL CARROUSEL
la sortija un aparato de amor.,EN EL CARROUSEL
Adela en el carrousell,EN EL CARROUSEL
y los caballos de madera,EN EL CARROUSEL
que la mecen y le mojan la piel.,EN EL CARROUSEL
"Ten piedad, no seas así",EN EL CARROUSEL
no le des patadas a los locos.,EN EL CARROUSEL
"Ten piedad no seas así,",EN EL CARROUSEL
voy desvaneciendo sin tu amor.,EN EL CARROUSEL
El sol empieza a salir,EN EL CARROUSEL
y en los jardines de tu mente,EN EL CARROUSEL
hay estatuas que ella debe pulir.,EN EL CARROUSEL
La luna empieza llorar,EN EL CARROUSEL
y cuando todo es tan plateado,EN EL CARROUSEL
hay colores que no pueden entrar.,EN EL CARROUSEL
"Ten piedad, no seas así",EN EL CARROUSEL
no le des patadas a los locos.,EN EL CARROUSEL
"Ten piedad no seas así,",EN EL CARROUSEL
