verso,cancion
pero yo se que...,SAL NO SALA
La sal no sala,SAL NO SALA
y el azúcar no endulza,SAL NO SALA
La sal no sala,SAL NO SALA
y el azúcar no endulza,SAL NO SALA
La madre de mi hermana,SAL NO SALA
hizo un pacto con Dios,SAL NO SALA
se inyectó mercurio,SAL NO SALA
y ahora te lo da a vos,SAL NO SALA
Pero sabes que...,SAL NO SALA
La sal no sala,SAL NO SALA
y el azúcar no endulza,SAL NO SALA
La sal no sala,SAL NO SALA
y el azúcar no endulza,SAL NO SALA
No soporto la mañana,SAL NO SALA
no soporto el sol,SAL NO SALA
Estoy harto de tu hermana,SAL NO SALA
estoy harto,SAL NO SALA
La chica de la esquina,SAL NO SALA
me está tratando mal,SAL NO SALA
me vende una droga,SAL NO SALA
que no puedo pagar,SAL NO SALA
Pero sabes que...,SAL NO SALA
La sal no sala,SAL NO SALA
y el azúcar no endulza,SAL NO SALA
La sal no sala,SAL NO SALA
y el azúcar no endulza,SAL NO SALA
(Me dijeron que hay alguien,SAL NO SALA
que tiene de la buena),SAL NO SALA
La sal no sala,SAL NO SALA
y el azúcar no endulza,SAL NO SALA
La sal no sala,SAL NO SALA
y el azúcar no endulza.,SAL NO SALA
"Ella es menor, él es normal",SIGUEN PEGANDO ABAJO (PECADO MORTAL)
y lo que están haciendo es un pecado mortal,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
ella se quedó sin boda ni arroz,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
y al novio lo agarraron entre muchos más que dos.,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
Miren lo están golpeando todo el tiempo,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
"lo vuelven, vuelven a golpear",SIGUEN PEGANDO ABAJO (PECADO MORTAL)
nos siguen pegando abajo.,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
Yo estaba en un club,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
no había casi luz,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
la puerta de salida tenía un farolito azul.,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
El se desmayó delante de mí,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
no fueron las pastillas,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
fueron los hombres de gris,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
Miren lo están golpeando todo el tiempo,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
"lo vuelven, vuelven a golpear",SIGUEN PEGANDO ABAJO (PECADO MORTAL)
nos siguen pegando abajo.,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
Estoy yéndome,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
soy como una luz apagándose,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
"desde el piso los pude ver,",SIGUEN PEGANDO ABAJO (PECADO MORTAL)
locos de placer alejándose,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
Miren lo están golpeando todo el tiempo,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
"lo vuelven, vuelven a golpear",SIGUEN PEGANDO ABAJO (PECADO MORTAL)
nos siguen pegando abajo.,SIGUEN PEGANDO ABAJO (PECADO MORTAL)
No tengo agua en el calefón,DE VIDEOTAPE
no tengo que escribir canciones de amor.,DE VIDEOTAPE
No ves que espero resucitar,DE VIDEOTAPE
mientras miras esos ojos de videotape.,DE VIDEOTAPE
Ya llega aquél examen del bien y el mal.,DE VIDEOTAPE
Ya llegan las noticias cruzando el mar.,DE VIDEOTAPE
"No ves que el mundo gira al revés,",DE VIDEOTAPE
mientras miras esos ojos de videotape.,DE VIDEOTAPE
Este mundo exclamará por siempre,DE VIDEOTAPE
la película que vi una vez,DE VIDEOTAPE
y este mundo te dirá por siempre,DE VIDEOTAPE
que es mejor mirar a la pared.,DE VIDEOTAPE
Ya tienes las postales del Paraguay,DE VIDEOTAPE
ya tienes las valijas sobre el diván.,DE VIDEOTAPE
"Te vas, el mundo gira al revés",DE VIDEOTAPE
mientras miras esos ojos de videotape.,DE VIDEOTAPE
Este mundo exclamará por siempre,DE VIDEOTAPE
la película que vi una vez,DE VIDEOTAPE
y este mundo te dirá por siempre,DE VIDEOTAPE
que es mejor mirar a la pared.,DE VIDEOTAPE
Yo que nací con Videla,HOTELES
yo que nací sin poder,HOTELES
yo que luché por la libertad,HOTELES
y nunca la pude tener,HOTELES
Yo que viví entre fachistas,HOTELES
yo que morí en el altar,HOTELES
yo que crecí con los que estaban bien,HOTELES
pero a la noche estaba todo mal.,HOTELES
"Hoy pasó el tiempo,",HOTELES
demoliendo hoteles,HOTELES
mientras los plomos juntan los cables,HOTELES
cazan rehenes.,HOTELES
Hoy pasó el tiempo,HOTELES
demoliendo hoteles,HOTELES
mientras los chicos allá en la esquina,HOTELES
pegan carteles.,HOTELES
Yo fui educado con odio,HOTELES
y odiaba la humanidad,HOTELES
un día me fui con los hippies,HOTELES
y tuve un amor y mucho más.,HOTELES
"Ahora no estoy más tranquilo,",HOTELES
y por qué tendría que estar,HOTELES
todos crecimos sin entender,HOTELES
y todavía me siento un anormal,HOTELES
"Hoy pasó el tiempo,",HOTELES
demoliendo hoteles,HOTELES
mientras los plomos juntan los cables,HOTELES
cazan rehenes.,HOTELES
Hoy pasó el tiempo,HOTELES
demoliendo hoteles,HOTELES
mientras los chicos allá en la esquina,HOTELES
pegan carteles.,HOTELES
(INSTRUMENTAL),FOREVER
Yo miro por el día que vendrá,(CON NITO MESTRE)
hermoso como un sol en la ciudad,(CON NITO MESTRE)
y si me escuchas bien,(CON NITO MESTRE)
creo que entenderás,(CON NITO MESTRE)
por qué yo esperé en vano,(CON NITO MESTRE)
que me dieras tu mano,(CON NITO MESTRE)
de mis huesos la humanidad,(CON NITO MESTRE)
debes salvar,(CON NITO MESTRE)
"Los magos, los acróbatas, los clowns",(CON NITO MESTRE)
mueven los hilos con habilidad,(CON NITO MESTRE)
¿pero no es el terror a la soledad,(CON NITO MESTRE)
lo que hace a los payasos,(CON NITO MESTRE)
"uno rojo, otro blanco",(CON NITO MESTRE)
y a los viejos romper la voz,(CON NITO MESTRE)
para cantar?,(CON NITO MESTRE)
"Oye, hijo, las cosas están de este modo",(CON NITO MESTRE)
una radio en mi cuarto me lo dice todo,(CON NITO MESTRE)
¡no preguntes más!,(CON NITO MESTRE)
"tenés sábados, hembras y televisores",(CON NITO MESTRE)
tenés días para andar aún sin los pantalones,(CON NITO MESTRE)
¡no preguntes más!,(CON NITO MESTRE)
Siempre el mismo terror a la soledad,(CON NITO MESTRE)
me hizo esperar en vano,(CON NITO MESTRE)
